"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","ANUNDA_CODE","COMMENT","DATASHEETVERSION","DIGI-KEY","LATESTREVISIONDATE","LATESTREVISIONNOTE","MFG","MFG P/N","NOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PUBLISHED","PUBLISHER","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"DIO_1N4007","DO-41","","","","M0329","=Value","1997","","17-Jul-2002","Re-released for DXP Platform.","Diodes Incorporated","1N4007-T","","","DO-41","","8-Jun-2000","Altium Limited","1N4007","","D?","Diode 1N4007 Rectifier  Axial, 1000V, 1A, TSC"
"DIO_1N4148","SOD323","","","","M0334","=Value","1997","","17-Jul-2002","Re-released for DXP Platform.","Micro Commercial Components","1N4148WX-TP","","","DO-35","","8-Jun-2000","Altium Limited","1N4148","","D?","Diode 1N4148WS-7 Switch  SOD323 75V"
"DIO_B340LA-13F","SMA","","","","","=Value","","","17-Jul-2002","Re-released for DXP Platform.","","","","DO-214-AA/SMB; 2 C-Bend Leads; Body 5.3 x 3.6 mm, inc. leads (LxW)","SMB","","8-Jun-2000","Altium Limited","B340LA-13F","","D?","Schottky Diode B340LA-13F"
"DIO_BAT54S","SOT23_N","SOT23_L","SOT23_M","SOT23_N_2","M1880","BAT54S","4-Mar-2002","","12-Dec-2006","IPC-7351 Footprint Added.","Fairchild Semiconductor","BAT54S_NL","","3-Pin SOT-23 Package 0.95 mm Pitch, 2.3 mm Lead Span","SOT23","May-1999","17-Sep-2003","Altium Limited","","","D?","Diode BAT54S Schottky Barrier Rectifier Diode 30V 200mA  SOT-23"
"DIO_BAT60AE","SOD323","","","","M1178","=Value","Oct-1999","","29-May-2009","IPC-7351 Footprint Added.","Infineon Technologies","BAT60AE6327HTSA1","Pin 2 is not connected and not drawn.","3-Pin SOT-23 Package 0.95 mm Pitch, 2.5 mm Lead Span","SOT-23","Sep-2001","21-Mar-2003","Altium Limited","BAT60AE6327","","D?","BAT60AE6327INCT-ND Schottky Diode 10V 2A SOD-323"
"DIO_MBRS540T3G","DO-214AB","","","","M2140","=Value","","","17-Jul-2002","Re-released for DXP Platform.","ON Semiconductor","MBRS540T3G","","DO-214-AA/SMB; 2 C-Bend Leads; Body 5.3 x 3.6 mm, inc. leads (LxW)","SMB","","8-Jun-2000","Altium Limited","MBRS540T3G","","D?","DIODE MBRS540T3G SCHOTTKY 40V 5A"
"DIO_NSR1020MW2","SOD323","","","","","=Value","","","17-Jul-2002","Re-released for DXP Platform.","","","","DO-214-AA/SMB; 2 C-Bend Leads; Body 5.3 x 3.6 mm, inc. leads (LxW)","SMB","","8-Jun-2000","Altium Limited","NSR1020MW2","","D?","Schottky Diode NSR1020MW2"
"DIO_RB088BM200TL","TO-252","","","","M2138","RB088BM200TL","4-Mar-2002","","12-Dec-2006","IPC-7351 Footprint Added.","Rohm Semiconductor","RB088BM200TL","","DPAK TO-252","TO252","May-1999","17-Sep-2003","Altium Limited","","","D?","DIODE SCHOTTKY RB088BM200TL 200V REVERSE 10A"
"DIO_RB550VAM","SOD323HE","","","","M1913","=Value","","","17-Jul-2002","Re-released for DXP Platform.","Rohm Semiconductor","RB550VAM-30TR","","DO-214-AA/SMB; 2 C-Bend Leads; Body 5.3 x 3.6 mm, inc. leads (LxW)","SMB","","8-Jun-2000","Altium Limited","RB550VAM","","D?","Schottky Diode RB550VAM"
"TVS_PESD12VL1BA","SOD323","","","","M2032","=Value","","","","","Nexperia USA Inc.","PESD12VL1BA,115","","","","","","","PESD12VL1BA,115","","D?","ESD PESD12VL1BA,115  SOD323"
"TVS_PESD5V0V1BB","SOD523","","","","M1438","=Value","","","","","Nexperia USA Inc.","PESD5V0V1BB,115","","","","","","","PESD5V0V1BB,115","","D?","ESD PESD5V0V1BB,115  SOD523"
"ZD_PDZV3.6A","SOD-128","","","","M1967","PDZV3.6A","","PDZVTR3.6ACT-ND","17-Jul-2002","Re-released for DXP Platform.","Rohm Semiconductor","PDZVTR3.6A","","Diode, Thru-Hole; 2 Leads; 0.7 in Pin Spacing","DIODE-0.7","","8-Jun-2000","Altium Limited","","","ZD?","PDZV3.6A  Zener Diode 3.6V 1W ±6.19% Surface Mount PMDTM"
"ZD_PDZV4.3A","SOD-128","","","","M2001","PDZV4.3A","","PDZVTR4.3ACT-ND","17-Jul-2002","Re-released for DXP Platform.","Rohm Semiconductor","PDZVTR4.3A","","Diode, Thru-Hole; 2 Leads; 0.7 in Pin Spacing","DIODE-0.7","","8-Jun-2000","Altium Limited","","","ZD?","PDZV4.3A  Zener Diode 4.3V 1W ±6.19% Surface Mount PMDTM"
"ZD_PDZV5.1A","SOD-128","","","","M1926","PDZV5.1A","","PDZVTR5.1ACT-ND","17-Jul-2002","Re-released for DXP Platform.","Rohm Semiconductor","PDZVTR5.1A","","Diode, Thru-Hole; 2 Leads; 0.7 in Pin Spacing","DIODE-0.7","","8-Jun-2000","Altium Limited","","","ZD?","PDZV5.1A  Zener Diode 5.1V 1W ±6.19% Surface Mount PMDTM"
"ZD_PDZV5.6A","SOD-128","","","","M1923","PDZV5.6A","","PDZVTR5.6ACT-ND","17-Jul-2002","Re-released for DXP Platform.","Rohm Semiconductor","PDZVTR5.6A","","Diode, Thru-Hole; 2 Leads; 0.7 in Pin Spacing","DIODE-0.7","","8-Jun-2000","Altium Limited","","","ZD?","Diode PDZVTR5.6A Zener 5.65V 1W SOD-128"
"ZD_PDZV9.1A","SOD-128","","","","M1925","PDZV9.1A","","PDZVTR9.1ACT-ND","17-Jul-2002","Re-released for DXP Platform.","Rohm Semiconductor","PDZVTR9.1A","","Diode, Thru-Hole; 2 Leads; 0.7 in Pin Spacing","DIODE-0.7","","8-Jun-2000","Altium Limited","","","ZD?","PDZV9.1A  Zener Diode 9.1V 1W ±6.19% Surface Mount PMDTM"
