"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","AMBIENT_TEMPERATURE_RANGE_HIGH","AMBIENT_TEMPERATURE_RANGE_LOW","ANUNDA_CODE","CLASSNAME","CODE_IPC","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DATASHEET","DATASHEETVERSION","DIGI-KEY","DIGIKEY_DESCRIPTION","DIGIKEY_PART_NUMBER","DIGIKEY_PN:","LATESTREVISIONDATE","LATESTREVISIONNOTE","MF","MFG","MFG P/N","MFG_PACKAGE_IDENT","MFR_NAME","MP","MPN","NOTEPAD","PACKAGE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGETOPMARKING","PACKAGEVERSION","PACKAGING","PACKING","PART DESCRIPTION","PCB DECAL","PINCOUNT","PINS","POWERWISE","PREFIX","PRICE","PUBLISHED","PUBLISHER","RADIATION HARDENING","RAM_SIZE","REACH SVHC","REFDES","REPLACEMENT","ROHS","ROHSCOMPLIANT","SET POSITION","SIM NOTE","SNAPEDA_LINK","STANDOFF_HEIGHT","SUPPLIER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIERSPARTNUMBER","SUPPLY VOLTAGE(VCC) MAX (V)","SUPPLY VOLTAGE(VCC) MIN (V)","SYMBOLNAME_1","SYMBOLNAME_2","TEMPERATURE_RANGE_HIGH","TEMPERATURE_RANGE_LOW","TEXT","TYPE","UNITPRICE","VALUE","VERIFICATION_VERSION","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"LPC1768FBD100","NXP-SOT407-1_V","","","","","","M1200","","","","=Value","","","","Rev. 9.6 , 08/2015","","","","","","","","NXP USA Inc.","LPC1768FBD100K","","","","","","","100-Pin Plastic Low Profile Quad Flat Package, Body 14 x 14 mm","SOT407-1","","","Tray","","","","","4","","","","","","No","","Unknown","","","","true","","","","","","","","","","","","","","","","","","","","","","","","LPC1768FBD100","","18.8 mm","","U?","32-Bit ARM Cortex-M3 Microcontroller, Ethernet, USB 2.0 Host / Device / OTG, CAN, 512 KB Flash, 64 KB SRAM, -40 to 85 degC, 100-Pin LQFP (SOT407-1), RoHS, Tray"
"LPC1768MBED_MODULE","LPC_mini","","","","","","","","","","LPC1768MBED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","LPC1768 MBED MODULE"
"Linkit7688","Linkit7688Duo","","","","","","N2073","","","","Board Linkit7688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Linkit Smart 7688 (102110018) Controller"
"Linkit7688duo","Linkit7688Duo","","","","","","","","","","Board Linkit7688duo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"MAX-8Q","MAX-8Q","","","","","","N2035","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MAX-8Q","","","*","U?","GNSS Module, Model : MAX-8Q with GPS, Ublox"
"MAX3232CSE","SOIC16N_N","","","","","","M1363","","SOIC127P600-16","MS-012-AC","MAX3232CSE","","","","Mar-1999","","","","","13-Apr-2006","IPC-7351 Footprint Added.","","Analog Devices Inc","MAX3232CSE+T","","","","","","","16-Pin Small Outline Integrated Circuit 1.27 mm Pitch","NSO16","","","","","","","","","","","","16-Jan-2001","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U2","3.0V TO 5.5V, Low-Power, up to 1Mbps, True RS-232 Transceiver Using Four 0.1µF External Capacitor"
"MCP121T","SOT23_N_2","","","","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MCP121T-300E/LB","","","*","U?","MCP121T-300E/LB Micropower Voltage Supervisor 2.93V,Active LOW"
"MCP16251","SOT23-6","","","","","","","","","","MCP16251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Low Quiescent Current, PFM/PWM Synchronous Boost Regulator sot23-6"
"MCP23017T-E/SO","SOIC-SO28_N","","","","","","M1934","","","MS-013","MCP23017T-E/SO","","","","revB, Feb-2007","","","","","","","","","","","","","","","","28-Lead Plastic Small Outline (SO) - Wide 7.50mm Body [SOIC]","SOIC-SO28","","revBB, Aug-2009","","","","","","","","","","","Altium Limited","","","","","","","","","","","","","Digi-Key","Newark","","","MCP23017T-E/SO-ND","31K2962","","","","","","","","","","","","","","","","","U?","16-Bit I/O Expander with Serial Interface, 28-Pin SOIC, Extended Temperature, Tape and Reel"
"MCP73831T-2ACI/OT","SOT235","","","","","","","","SOT23-5","","MCP73831T-2ACI/OT","","","","revE, Sep-2008","","","","","27-Nov-2009","Updated to datasheet revision E, Sep-2008","","","","","","","","","","5-Lead Plastic Small Outline Transistor (OT) [SOT-23]","SOT-23-OT5","","revBB, Aug-2009","","","","","","","","","","29-Jan-2009","Altium Limited","","","","","","","","","","","","","Digi-Key","Digi-Key","Digi-Key","Farnell","MCP73831T-2ACI/OTTR-ND","MCP73831T-2ACI/OTCT-ND","MCP73831T-2ACI/OTDKR-ND","1332158","","","","","","","","","","","","","","","U?","Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controller, 4.2V, 5-Pin SOT-23, Industrial Temperature, Tape and Reel"
"MCP73833T","MSOP10","","","","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MCP73833T-AMI/UN","","","*","U?","MCP73833T Stand-Alone Linear Li-Ion / Li-Po Charge
Management Controller"
"MK22FN512VLH12","LQFP64","","","","","","M2051","","","","K22F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC MK22FN512VLH12 MCU 32-Bit 512KB Flash 64LQFP ARM Cortec-M4"
"MK22FN512VLH12X","LQFP64_WFID","","","","","","M2051","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MK22FN512VLH12","","","","U?","IC MK22FN512VLH12 MCU 32-Bit 512KB Flash 64LQFP ARM Cortec-M4"
"MTH_M3","PTH_M3","","","","","","","","","","MTH_M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","MTH?","Mounting Hole M3 diameter 3.2mm"
"MX25R1635FM2IH1","SOIC-8_208mil","","","","","","M1945","","","","MX25R1635FM2IH1","","","","","","","","","","","","Macronix","MX25R1635FM2IL0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","NOR-Flash Macronix MX25R1635FM2IH1"
"Modem_ICS","Modem1_ICS","","","","","","","","","","Modem_ICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"NTC_10K","NTC1X2","","","","","","","","","","Thermister_10k","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","","","","","","","","","","","","","","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NT?","NTC 10K , 2-Pin"
"PCA9306","TSSOP8","","","","","","M1920","","","","PCA9306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC VOLT-LVL TRANSL PCA9306DTR2G Translator TSSOP-8"
"RPOT_25T_104","3296W","","","","","","*","","","","=Value","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","VR5","","","","","","","","","","","","8-Jun-2000","Altium Limited","","","","","","","","0.5","Enter the Resistance value and the set point into parameter fields.","","","","","","","","","","","","","","","","","","","","","","100K/25T","","","","R?","Potentiometer 100 kOhm 25T Top Adj."
"RPOT_25T_202","3296W","","","","","","M1330","","","","=Value","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","VR5","","","","","","","","","","","","8-Jun-2000","Altium Limited","","","","","","","","0.5","Enter the Resistance value and the set point into parameter fields.","","","","","","","","","","","","","","","","","","","","","","2K/25T","","","","R?","Potentiometer 2 kOhm 25T Top Adj."
"SARA-R4","SARA - LPAD","","","","","","N2034","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SARA-R410M","","","*","U?","LTE NB-IoT Module, Model : SARA-R410M Cat.M1, Ublox"
"SARA-U2","SARA - LPAD","","","","","","N2036","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SARA-U201","","","*","U?","HSPA/GSM Module, Model : SARA-U201 for Global coverage, Ublox"
"SIM39EA","","","","","","","","","","","SIM39EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"SIM7600E-H","SIM7600E_H","","","","","","N2573","","","","SIM7600E-H1C","","","","","","","","","","","Simcom","","","","","SIM7600E-H","","","None","","","","","","","","","","","","","None","","","","","","","","","","","","https://www.snapeda.com/parts/SIM7600E-H/SIMcom%20Wireless%20solutions%20Co.%2CLtd/view-part/2758290/?ref=snap","","","","","","","","","","","","","","","","","","","","","*","","","*","U?","4G LTE Module, Model : SIM7600E-H1C, SIMCOM"
"SN74AVC2T245","10-UQFN","","","","","","","","","","SN74AVC2T245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","SN74AVC2T245  Dual-Bit  Dual-Supply  Bus Transceiver  with Configurable  Level-Shifting  /  Voltage  Translation  and Tri-State  Outputs"
"SN74LVC1G3157DBVR","SOT23-6","","","","","","M2090","","","","SN74LVC1G3157DBVR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC SN74LVC1G3157DBVR Analog Switch SPDT 340 MHz 1.65V to 5.5V"
"SN74LVC2GU04DBVR","SOT23-6","","","","","","","","","","SN74LVC2GU04DBVR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","SN74LVC2GU04DBVR  sot-23-6"
"SN75176BDR","SOIC127P600X175-8N","","","","","","M2010","","SOIC127P600-8","","SN75176BDR","","","","May-1990","","","","","13-Apr-2006","IPC-7351 Footprint Added.","","","","","","","","","","8-Pin Small Outline Integrated Circuit 1.27 mm Pitch","D008","","Jan-1998","","","","","","","","","","15-May-2002","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","SN75176 Differential Bus TransceiverRS-485/RS-422"
"SQ_SEN_390","SQ_SEN_XXX","","","","","","N2240","","","","SQ_SEN_390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","TS?","Sensor SQ-SEN-390 On/Off Tilt sensor"
"SQ_SEN_XXX","SQ_SEN_XXX","","","","","","","","","","SQ_SEN_XXX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","TS?","Tilt Detect Switch SQ-SEN-XXX"
"STM32F072RBT6","LQFP64_WFID","","","","+85°C","-40°C","","","","","STM32F072RBT6","","","https://www.st.com/resource/en/datasheet/stm32f072rb.pdf","","","IC MCU 32BIT 128KB FLASH 64LQFP","497-14644-ND","","","","STMicroelectronics","","","LQFP64-5W","","","STM32F072RBT6","","STMICROELECTRONICS_STM32F072RBT6_0","","","","","","","","","","","","U","","","","","16KBytes","","","","Yes","","","","","0.05mm","","","","","","","","","","","","","STMICROELECTRONICS_STM32F072RBT6_0_0","STMICROELECTRONICS_STM32F072RBT6_0_1","+105°C","-40°C","","","","","0.0.0.3","","*","U?",""
"STM32F401RET6","LQFP64-10x10mm","LQFP64_WFID","","","","","*","","","","=Value","","","","","","","","","","","","","","","STMicroelectronics","","","","","","","","","","","","","","","","","","","","","","","RefDes","","","","","","","","","","","","","","","","","","","","","","","","","Type","","STM32F401RET6","","","*","U?","IC MCU STM32F401RET6"
"STM32F407VET6","LQFP-100_14x14x05P","","","","","","","","","","STM32F407VET6","?????","http://www.szlcsc.com/product/details_29482.html","","","","","","","","","","","","","","","","","LQFP-100_14x14x05P","","","","","","","","","","","","","","","","","","","","","","","","","","","LC","","","","","","","","","C28730","","","","","","","","","","","","","*","U?","ARM"
"STM32F429ZIT6","LQFP144_L","LQFP144_M","LQFP144_N","LQFP144_V","","","","","","","STM32F429ZIT6","","","","Rev. 2","","","","","","","","","STM32F429ZIT6","","","","","","","144-Pin Low Profile Quad Flat Package, 20 x 20 mm Body, 0.5 mm Pitch","LQFP144","","Rev. 4, 06/2013","","Tray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","1.8","","","","","","","","","","","","U?","ARM Cortex-M4 32-bit MCU+FPU, 225 DMIPS, 2048 kB Flash, 256 kB Internal RAM, 114 I/Os, 144-pin LQFP, -40 to 85 degC, Tray"
"SW DIP-4","DIPSW_SMD4P","","","","","","","","SOIC127P600-8","MS-012-AA","SW DIP-4","","","","","","","","","29-May-2009","IPC-7351 Footprint Added.","","","","","","","","","","8-Pin Small Outline Integrated Circuit 1.27 mm Pitch","SO8","","Dec-2002","","","","","","","","","","24-Mar-1999","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S1","DIP Switch, 4 Position, SPST"
"SW-SPST","TACTILE-OMRON/WE","","","","","","M1406","","","","SW-SPST","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","Switch; 2 Leads","SPST-2","","","","","","","","","","","","24-Mar-1999","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S?","Single-Pole, Single-Throw Switch"
"SW-SPST_4P","TACT_THSW","","","","","","M1406","","","","SW-SPST","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","Switch; 2 Leads","SPST-2","","","","","","","","","","","","24-Mar-1999","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S?","Single-Pole, Single-Throw Switch"
"TESTPOINT","TestPoint","","","","","","","TESTPOINT","","","=TEXT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","TP?","Testpoint open pad 1mm diameter round"
"TILT_SEN_PCB","TILT_SEN_PCB","","","","","","","","","","TILT_SEN_PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","TS?",""
"TL084D","SOIC-14_150mil","","","","","","","","SOIC127P600-14","","TL084D","","","","Feb-1999","","","","","13-Apr-2006","IPC-7351 Footprint Added.","","","","","","","","","","14-Pin Small Outline Integrated Circuit 1.27 mm Pitch","D014","","Jan-1998","","","","","","","","","","16-Jan-2001","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","JFET-Input Operational Amplifier"
"TPL5010","SOT23-6","","","","","","M1968","","","","TPL5010","","","","","","","","","","","","Texas Instruments","TPL5010QDDCRQ1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC TPL5010QDDCRQ1 Programmable timer W/Watchdog SOT-23-6"
"TPL511X","SOT23-6","","","","","","","","","","TPL511X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","TPL511x  ic Timer and one shot programmable timeout"
"TPS4H000AQP","20-HTSSOP","","","","","","","","","","TPS4H000AQPWPRQ1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","TPS4H000AQPWPRQ1  40-V, 1000-mO Quad-Channel Smart High-Side Switch"
"TPS4H160AQPWPRQ1","28-HTSSOP","","","","","","","","","","TPS4H160AQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"TPS63060DSCR","S-PWSON-N10","","","","","","M1922","","","","TPS63060","","","","","296-30204-1-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","TPS63060  High Input Voltage,  Buck-Boost  Converter  With 2-A Switch  Current"
"TXB0102","VSSOP-8","","","","","","M1905","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TXB0102DCUR","","","*","U?","IC VOLT-LVL TRANSL BI-DIR US8 Translator 100Mbps(TXB0102DCUR)"
"TXB0104","PVQFN-14","","","","","","","","","","TXB0104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","TXB0104 Level Translator"
"TXB0108PWR","TSSOP20","","","","","","M1405","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TXB0108PWR","","","*","U?","IC TXB0108PWR 8 bits Logic Translator TSSOP-20"
"TXS0104E","TSSOP14","","","","","","M2024","","","","=Value","","","","","","","","","","","","Texas Instruments","TXS0104EPWR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TXS0104EPWR","","","*","U?","TXS0104E 4-Bit Bidirectional Voltage-Level Translator for Open-Drain and Push-Pull
Applications"
"TXS0108EPWR","TSSOP20","","","","","","M2005","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TXS0108EPWR","","","*","U?","IC TXS0108EPWR 8 bits Logic Translator TSSOP-20"
"W25Q16JVSSIQ","SOIC-8_208mil","","","","","","D1143","","","","W25Q16JVSSIQ","","","","","","","","","","","","Winbond Electronics","W25Q16JVSSIQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","NOR-SPI Flash Winbond W25Q16JVSSIQ Power Supply 2.7V to 3.6V"
"ZED_F9P","UBlox_ZED","","","","","","","","","","ZED_F9P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"brd_11u68-100P","BRD_11u68-100p","","","","","","","","","","BRD11U68_100p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
